Region,Category,Product,Year,Unit,Value,Flag
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1971,KBD,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1971,KT,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1972,KBD,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1972,KT,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1973,KBD,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1973,KT,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1974,KBD,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1974,KT,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1975,KBD,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1975,KT,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1976,KBD,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1976,KT,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1977,KBD,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1977,KT,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1978,KBD,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1978,KT,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1979,KBD,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1979,KT,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1980,KBD,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1980,KT,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1981,KBD,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1981,KT,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1982,KBD,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1982,KT,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1983,KBD,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1983,KT,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1984,KBD,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1984,KT,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1985,KBD,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1985,KT,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1986,KBD,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1986,KT,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1987,KBD,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1987,KT,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1988,KBD,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1988,KT,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1989,KBD,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1989,KT,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1990,KBD,95.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1990,KT,5080.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1991,KBD,100.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1991,KT,5373.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1992,KBD,112.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1992,KT,6062.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1993,KBD,107.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1993,KT,5751.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1994,KBD,127.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1994,KT,6913.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1995,KBD,138.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1995,KT,7522.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1996,KBD,150.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1996,KT,8207.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1997,KBD,138.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1997,KT,7451.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1998,KBD,129.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1998,KT,7018.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1999,KBD,152.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,1999,KT,8212.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2000,KBD,137.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2000,KT,7476.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2001,KBD,129.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2001,KT,6994.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2002,KBD,120.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2002,KT,6500.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2003,KBD,138.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2003,KT,7536.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2004,KBD,124.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2004,KT,6723.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2005,KBD,123.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2005,KT,6675.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2006,KBD,113.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2006,KT,6128.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2007,KBD,116.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2007,KT,6284.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2008,KBD,104.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2008,KT,5667.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2009,KBD,90.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2009,KT,4873.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2010,KBD,113.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2010,KT,5955.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2011,KBD,108.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2011,KT,5676.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2012,KBD,117.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2012,KT,6206.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2013,KBD,110.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2013,KT,5830.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2014,KBD,110.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2014,KT,5812.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2015,KBD,112.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2015,KT,5898.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2016,KBD,98.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2016,KT,5183.0,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2017,KBD,103.808477,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2017,KT,5458.149,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2018,KBD,116.45374,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2018,KT,6130.773,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2019,KBD,114.173501,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2019,KT,6006.536,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2020,KBD,103.83174,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2020,KT,5476.391,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2021,KBD,104.036907,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2021,KT,5457.252,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2022,KBD,97.733819,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2022,KT,5113.492,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2023,KBD,95.490562,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2023,KT,4998.274,I
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2024,KBD,0.0,O
AFRICA_UN,BUNKERS_MARINE,OIL_SEC_PRODUCTS,2024,KT,0.0,O
AFRICA_UN,DEMAND,AVIATION_GASOLIN,1971,KBD,0.0,O
AFRICA_UN,DEMAND,AVIATION_GASOLIN,1971,KT,0.0,O
AFRICA_UN,DEMAND,AVIATION_GASOLIN,1972,KBD,0.0,O
AFRICA_UN,DEMAND,AVIATION_GASOLIN,1972,KT,0.0,O
AFRICA_UN,DEMAND,AVIATION_GASOLIN,1973,KBD,0.0,O
AFRICA_UN,DEMAND,AVIATION_GASOLIN,1973,KT,0.0,O
AFRICA_UN,DEMAND,AVIATION_GASOLIN,1974,KBD,0.0,O
AFRICA_UN,DEMAND,AVIATION_GASOLIN,1974,KT,0.0,O
AFRICA_UN,DEMAND,AVIATION_GASOLIN,1975,KBD,0.0,O
AFRICA_UN,DEMAND,AVIATION_GASOLIN,1975,KT,0.0,O
AFRICA_UN,DEMAND,AVIATION_GASOLIN,1976,KBD,0.0,O
AFRICA_UN,DEMAND,AVIATION_GASOLIN,1976,KT,0.0,O
AFRICA_UN,DEMAND,AVIATION_GASOLIN,1977,KBD,0.0,O
AFRICA_UN,DEMAND,AVIATION_GASOLIN,1977,KT,0.0,O
AFRICA_UN,DEMAND,AVIATION_GASOLIN,1978,KBD,0.0,O
AFRICA_UN,DEMAND,AVIATION_GASOLIN,1978,KT,0.0,O
AFRICA_UN,DEMAND,AVIATION_GASOLIN,1979,KBD,0.0,O
AFRICA_UN,DEMAND,AVIATION_GASOLIN,1979,KT,0.0,O
