Country,Year,Type,Value,Lower_CI,Upper_CI,ARIMA_Order,MAPE
Algeria,1971,Historical,8.0,,,"(1,1,1)",
Algeria,1972,Historical,13.0,,,"(1,1,1)",
Algeria,1973,Historical,69.0,,,"(1,1,1)",
Algeria,1974,Historical,52.0,,,"(1,1,1)",
Algeria,1975,Historical,59.0,,,"(1,1,1)",
Algeria,1976,Historical,48.0,,,"(1,1,1)",
Algeria,1977,Historical,32.0,,,"(1,1,1)",
Algeria,1978,Historical,42.0,,,"(1,1,1)",
Algeria,1979,Historical,51.0,,,"(1,1,1)",
Algeria,1980,Historical,149.0,,,"(1,1,1)",
Algeria,1981,Historical,219.0,,,"(1,1,1)",
Algeria,1982,Historical,323.0,,,"(1,1,1)",
Algeria,1983,Historical,270.0,,,"(1,1,1)",
Algeria,1984,Historical,320.0,,,"(1,1,1)",
Algeria,1985,Historical,317.0,,,"(1,1,1)",
Algeria,1986,Historical,379.0,,,"(1,1,1)",
Algeria,1987,Historical,379.0,,,"(1,1,1)",
Algeria,1988,Historical,408.0,,,"(1,1,1)",
Algeria,1989,Historical,376.0,,,"(1,1,1)",
Algeria,1990,Historical,395.0,,,"(1,1,1)",
Algeria,1991,Historical,380.0,,,"(1,1,1)",
Algeria,1992,Historical,389.0,,,"(1,1,1)",
Algeria,1993,Historical,382.0,,,"(1,1,1)",
Algeria,1994,Historical,376.0,,,"(1,1,1)",
Algeria,1995,Historical,384.0,,,"(1,1,1)",
Algeria,1996,Historical,381.0,,,"(1,1,1)",
Algeria,1997,Historical,455.0,,,"(1,1,1)",
Algeria,1998,Historical,450.0,,,"(1,1,1)",
Algeria,1999,Historical,488.0,,,"(1,1,1)",
Algeria,2000,Historical,523.0,,,"(1,1,1)",
Algeria,2001,Historical,543.0,,,"(1,1,1)",
Algeria,2002,Historical,508.0,,,"(1,1,1)",
Algeria,2003,Historical,504.0,,,"(1,1,1)",
Algeria,2004,Historical,427.0,,,"(1,1,1)",
Algeria,2005,Historical,429.0,,,"(1,1,1)",
Algeria,2006,Historical,421.0,,,"(1,1,1)",
Algeria,2007,Historical,441.0,,,"(1,1,1)",
Algeria,2008,Historical,450.0,,,"(1,1,1)",
Algeria,2009,Historical,443.0,,,"(1,1,1)",
Algeria,2010,Historical,491.0,,,"(1,1,1)",
Algeria,2011,Historical,479.0,,,"(1,1,1)",
Algeria,2012,Historical,438.0,,,"(1,1,1)",
Algeria,2013,Historical,443.0,,,"(1,1,1)",
Algeria,2014,Historical,586.0,,,"(1,1,1)",
Algeria,2015,Historical,589.0,,,"(1,1,1)",
Algeria,2016,Historical,571.0,,,"(1,1,1)",
Algeria,2017,Historical,555.789315,,,"(1,1,1)",
Algeria,2018,Historical,519.172575,,,"(1,1,1)",
Algeria,2019,Historical,494.913367,,,"(1,1,1)",
Algeria,2020,Historical,489.387609,,,"(1,1,1)",
Algeria,2021,Historical,479.765636,,,"(1,1,1)",
Algeria,2022,Historical,493.61954,,,"(1,1,1)",
Algeria,2023,Historical,500.681049,,,"(1,1,1)",
Algeria,2024,Historical,496.40362870000126,,,"(1,1,1)",
Algeria,2025,Forecast,509.7951657585769,431.26588397427435,588.3244475428794,"(1,1,1)",14.49
Algeria,2026,Forecast,512.846172310934,326.84324967809494,698.849094943773,"(1,1,1)",14.49
Algeria,2027,Forecast,513.5412860190773,248.27789896839022,778.8046730697645,"(1,1,1)",14.49
Algeria,2028,Forecast,513.6996544325688,185.18559654675465,842.2137123183829,"(1,1,1)",14.49
Algeria,2029,Forecast,513.7357356579827,131.77754947856954,895.6939218373958,"(1,1,1)",14.49
Algeria,2030,Forecast,513.7439560776905,84.84162787799352,942.6462842773876,"(1,1,1)",14.49
Algeria,2031,Forecast,513.7458289436865,42.530460677702024,984.9611972096711,"(1,1,1)",14.49
Belgium,1971,Historical,198.0,,,"(2,1,1)",
Belgium,1972,Historical,266.0,,,"(2,1,1)",
Belgium,1973,Historical,294.0,,,"(2,1,1)",
Belgium,1974,Historical,222.0,,,"(2,1,1)",
Belgium,1975,Historical,258.0,,,"(2,1,1)",
Belgium,1976,Historical,286.0,,,"(2,1,1)",
Belgium,1977,Historical,365.0,,,"(2,1,1)",
Belgium,1978,Historical,313.0,,,"(2,1,1)",
Belgium,1979,Historical,311.0,,,"(2,1,1)",
