Country,Year,Type,Net_Trade,Net_CI_Low,Net_CI_High,Exports,Imports,ARIMA_Order,MAPE
Algeria,1971,Historical,8.0,,,8.0,0.0,"(1,1,1)",
Algeria,1972,Historical,13.0,,,13.0,0.0,"(1,1,1)",
Algeria,1973,Historical,69.0,,,69.0,0.0,"(1,1,1)",
Algeria,1974,Historical,52.0,,,52.0,0.0,"(1,1,1)",
Algeria,1975,Historical,59.0,,,59.0,0.0,"(1,1,1)",
Algeria,1976,Historical,48.0,,,48.0,0.0,"(1,1,1)",
Algeria,1977,Historical,32.0,,,32.0,0.0,"(1,1,1)",
Algeria,1978,Historical,42.0,,,42.0,0.0,"(1,1,1)",
Algeria,1979,Historical,51.0,,,51.0,0.0,"(1,1,1)",
Algeria,1980,Historical,149.0,,,149.0,0.0,"(1,1,1)",
Algeria,1981,Historical,219.0,,,219.0,0.0,"(1,1,1)",
Algeria,1982,Historical,323.0,,,323.0,0.0,"(1,1,1)",
Algeria,1983,Historical,270.0,,,270.0,0.0,"(1,1,1)",
Algeria,1984,Historical,320.0,,,320.0,0.0,"(1,1,1)",
Algeria,1985,Historical,317.0,,,317.0,0.0,"(1,1,1)",
Algeria,1986,Historical,379.0,,,379.0,0.0,"(1,1,1)",
Algeria,1987,Historical,379.0,,,379.0,0.0,"(1,1,1)",
Algeria,1988,Historical,408.0,,,408.0,0.0,"(1,1,1)",
Algeria,1989,Historical,376.0,,,376.0,0.0,"(1,1,1)",
Algeria,1990,Historical,395.0,,,395.0,0.0,"(1,1,1)",
Algeria,1991,Historical,380.0,,,380.0,0.0,"(1,1,1)",
Algeria,1992,Historical,389.0,,,389.0,0.0,"(1,1,1)",
Algeria,1993,Historical,382.0,,,382.0,0.0,"(1,1,1)",
Algeria,1994,Historical,376.0,,,376.0,0.0,"(1,1,1)",
Algeria,1995,Historical,384.0,,,384.0,0.0,"(1,1,1)",
Algeria,1996,Historical,381.0,,,381.0,0.0,"(1,1,1)",
Algeria,1997,Historical,455.0,,,455.0,0.0,"(1,1,1)",
Algeria,1998,Historical,450.0,,,450.0,0.0,"(1,1,1)",
Algeria,1999,Historical,488.0,,,488.0,0.0,"(1,1,1)",
Algeria,2000,Historical,523.0,,,523.0,0.0,"(1,1,1)",
Algeria,2001,Historical,543.0,,,543.0,0.0,"(1,1,1)",
Algeria,2002,Historical,508.0,,,508.0,0.0,"(1,1,1)",
Algeria,2003,Historical,504.0,,,504.0,0.0,"(1,1,1)",
Algeria,2004,Historical,427.0,,,427.0,0.0,"(1,1,1)",
Algeria,2005,Historical,429.0,,,429.0,0.0,"(1,1,1)",
Algeria,2006,Historical,421.0,,,421.0,0.0,"(1,1,1)",
Algeria,2007,Historical,441.0,,,441.0,0.0,"(1,1,1)",
Algeria,2008,Historical,450.0,,,450.0,0.0,"(1,1,1)",
Algeria,2009,Historical,443.0,,,443.0,0.0,"(1,1,1)",
Algeria,2010,Historical,491.0,,,491.0,0.0,"(1,1,1)",
Algeria,2011,Historical,479.0,,,479.0,0.0,"(1,1,1)",
Algeria,2012,Historical,438.0,,,438.0,0.0,"(1,1,1)",
Algeria,2013,Historical,443.0,,,443.0,0.0,"(1,1,1)",
Algeria,2014,Historical,586.0,,,586.0,0.0,"(1,1,1)",
Algeria,2015,Historical,589.0,,,589.0,0.0,"(1,1,1)",
Algeria,2016,Historical,571.0,,,571.0,0.0,"(1,1,1)",
Algeria,2017,Historical,555.79,,,555.79,0.0,"(1,1,1)",
Algeria,2018,Historical,519.17,,,519.17,0.0,"(1,1,1)",
Algeria,2019,Historical,494.91,,,494.91,0.0,"(1,1,1)",
Algeria,2020,Historical,489.39,,,489.39,0.0,"(1,1,1)",
Algeria,2021,Historical,479.77,,,479.77,0.0,"(1,1,1)",
Algeria,2022,Historical,493.62,,,493.62,0.0,"(1,1,1)",
Algeria,2023,Historical,500.68,,,500.68,0.0,"(1,1,1)",
Algeria,2024,Historical,496.4,,,496.4,0.0,"(1,1,1)",
Algeria,2025,Forecast,509.8,,,509.8,0.0,"(1,1,1)",14.49
Algeria,2026,Forecast,512.85,,,512.85,0.0,"(1,1,1)",14.49
Algeria,2027,Forecast,513.54,,,513.54,0.0,"(1,1,1)",14.49
Algeria,2028,Forecast,513.7,,,513.7,0.0,"(1,1,1)",14.49
Algeria,2029,Forecast,513.74,,,513.74,0.0,"(1,1,1)",14.49
Algeria,2030,Forecast,513.74,,,513.74,0.0,"(1,1,1)",14.49
Algeria,2031,Forecast,513.75,,,513.75,0.0,"(1,1,1)",14.49
Belgium,1971,Historical,198.0,,,198.0,0.0,"(2,1,1)",
Belgium,1972,Historical,266.0,,,266.0,0.0,"(2,1,1)",
Belgium,1973,Historical,294.0,,,294.0,0.0,"(2,1,1)",
Belgium,1974,Historical,222.0,,,222.0,0.0,"(2,1,1)",
Belgium,1975,Historical,258.0,,,258.0,0.0,"(2,1,1)",
Belgium,1976,Historical,286.0,,,286.0,0.0,"(2,1,1)",
Belgium,1977,Historical,365.0,,,365.0,0.0,"(2,1,1)",
Belgium,1978,Historical,313.0,,,313.0,0.0,"(2,1,1)",
Belgium,1979,Historical,311.0,,,311.0,0.0,"(2,1,1)",
Belgium,1980,Historical,365.0,,,365.0,0.0,"(2,1,1)",
Belgium,1981,Historical,351.0,,,351.0,0.0,"(2,1,1)",
Belgium,1982,Historical,313.0,,,313.0,0.0,"(2,1,1)",
Belgium,1983,Historical,328.0,,,328.0,0.0,"(2,1,1)",
Belgium,1984,Historical,321.0,,,321.0,0.0,"(2,1,1)",
Belgium,1985,Historical,263.0,,,263.0,0.0,"(2,1,1)",
Belgium,1986,Historical,329.0,,,329.0,0.0,"(2,1,1)",
Belgium,1987,Historical,329.0,,,329.0,0.0,"(2,1,1)",
Belgium,1988,Historical,297.0,,,297.0,0.0,"(2,1,1)",
Belgium,1989,Historical,329.0,,,329.0,0.0,"(2,1,1)",
Belgium,1990,Historical,343.0,,,343.0,0.0,"(2,1,1)",
Belgium,1991,Historical,362.0,,,362.0,0.0,"(2,1,1)",
Belgium,1992,Historical,359.0,,,359.0,0.0,"(2,1,1)",
Belgium,1993,Historical,342.0,,,342.0,0.0,"(2,1,1)",
Belgium,1994,Historical,341.0,,,341.0,0.0,"(2,1,1)",
Belgium,1995,Historical,325.0,,,325.0,0.0,"(2,1,1)",
Belgium,1996,Historical,370.0,,,370.0,0.0,"(2,1,1)",
Belgium,1997,Historical,366.0,,,366.0,0.0,"(2,1,1)",
Belgium,1998,Historical,383.0,,,383.0,0.0,"(2,1,1)",
Belgium,1999,Historical,396.0,,,396.0,0.0,"(2,1,1)",
Belgium,2000,Historical,408.0,,,408.0,0.0,"(2,1,1)",
Belgium,2001,Historical,403.0,,,403.0,0.0,"(2,1,1)",
Belgium,2002,Historical,416.0,,,416.0,0.0,"(2,1,1)",
Belgium,2003,Historical,421.0,,,421.0,0.0,"(2,1,1)",
Belgium,2004,Historical,457.0,,,457.0,0.0,"(2,1,1)",
Belgium,2005,Historical,463.0,,,463.0,0.0,"(2,1,1)",
Belgium,2006,Historical,443.0,,,443.0,0.0,"(2,1,1)",
Belgium,2007,Historical,441.0,,,441.0,0.0,"(2,1,1)",
Belgium,2008,Historical,439.0,,,439.0,0.0,"(2,1,1)",
Belgium,2009,Historical,424.0,,,424.0,0.0,"(2,1,1)",
Belgium,2010,Historical,422.0,,,422.0,0.0,"(2,1,1)",
Belgium,2011,Historical,440.0,,,440.0,0.0,"(2,1,1)",
Belgium,2012,Historical,491.0,,,491.0,0.0,"(2,1,1)",
Belgium,2013,Historical,509.0,,,509.0,0.0,"(2,1,1)",
Belgium,2014,Historical,544.0,,,544.0,0.0,"(2,1,1)",
Belgium,2015,Historical,533.0,,,533.0,0.0,"(2,1,1)",
Belgium,2016,Historical,556.0,,,556.0,0.0,"(2,1,1)",
Belgium,2017,Historical,653.08,,,653.08,0.0,"(2,1,1)",
Belgium,2018,Historical,625.1,,,625.1,0.0,"(2,1,1)",
Belgium,2019,Historical,621.61,,,621.61,0.0,"(2,1,1)",
Belgium,2020,Historical,508.59,,,508.59,0.0,"(2,1,1)",
Belgium,2021,Historical,561.01,,,561.01,0.0,"(2,1,1)",
Belgium,2022,Historical,521.91,,,521.91,0.0,"(2,1,1)",
Belgium,2023,Historical,567.16,,,567.16,0.0,"(2,1,1)",
Belgium,2024,Historical,576.74,,,576.74,0.0,"(2,1,1)",
Belgium,2025,Forecast,589.88,,,589.88,0.0,"(2,1,1)",13.92
Belgium,2026,Forecast,583.17,,,583.17,0.0,"(2,1,1)",13.92
Belgium,2027,Forecast,588.67,,,588.67,0.0,"(2,1,1)",13.92
Belgium,2028,Forecast,584.63,,,584.63,0.0,"(2,1,1)",13.92
Belgium,2029,Forecast,587.67,,,587.67,0.0,"(2,1,1)",13.92
Belgium,2030,Forecast,585.39,,,585.39,0.0,"(2,1,1)",13.92
Belgium,2031,Forecast,587.1,,,587.1,0.0,"(2,1,1)",13.92
Canada,1971,Historical,36.0,,,36.0,0.0,"(2,1,2)",
Canada,1972,Historical,93.0,,,93.0,0.0,"(2,1,2)",
Canada,1973,Historical,113.0,,,113.0,0.0,"(2,1,2)",
Canada,1974,Historical,107.0,,,107.0,0.0,"(2,1,2)",
Canada,1975,Historical,87.0,,,87.0,0.0,"(2,1,2)",
Canada,1976,Historical,57.0,,,57.0,0.0,"(2,1,2)",
Canada,1977,Historical,73.0,,,73.0,0.0,"(2,1,2)",
Canada,1978,Historical,132.0,,,132.0,0.0,"(2,1,2)",
Canada,1979,Historical,115.0,,,115.0,0.0,"(2,1,2)",
Canada,1980,Historical,129.0,,,129.0,0.0,"(2,1,2)",
Canada,1981,Historical,125.0,,,125.0,0.0,"(2,1,2)",
Canada,1982,Historical,93.0,,,93.0,0.0,"(2,1,2)",
Canada,1983,Historical,130.0,,,130.0,0.0,"(2,1,2)",
Canada,1984,Historical,142.0,,,142.0,0.0,"(2,1,2)",
Canada,1985,Historical,165.0,,,165.0,0.0,"(2,1,2)",
Canada,1986,Historical,151.0,,,151.0,0.0,"(2,1,2)",
Canada,1987,Historical,175.0,,,175.0,0.0,"(2,1,2)",
Canada,1988,Historical,238.0,,,238.0,0.0,"(2,1,2)",
Canada,1989,Historical,218.0,,,218.0,0.0,"(2,1,2)",
Canada,1990,Historical,243.0,,,243.0,0.0,"(2,1,2)",
Canada,1991,Historical,274.0,,,274.0,0.0,"(2,1,2)",
Canada,1992,Historical,240.0,,,240.0,0.0,"(2,1,2)",
Canada,1993,Historical,255.0,,,255.0,0.0,"(2,1,2)",
Canada,1994,Historical,237.0,,,237.0,0.0,"(2,1,2)",
Canada,1995,Historical,251.0,,,251.0,0.0,"(2,1,2)",
Canada,1996,Historical,293.0,,,293.0,0.0,"(2,1,2)",
Canada,1997,Historical,311.0,,,311.0,0.0,"(2,1,2)",
Canada,1998,Historical,292.0,,,292.0,0.0,"(2,1,2)",
Canada,1999,Historical,301.0,,,301.0,0.0,"(2,1,2)",
Canada,2000,Historical,303.0,,,303.0,0.0,"(2,1,2)",
Canada,2001,Historical,394.0,,,394.0,0.0,"(2,1,2)",
Canada,2002,Historical,424.0,,,424.0,0.0,"(2,1,2)",
Canada,2003,Historical,432.0,,,432.0,0.0,"(2,1,2)",
Canada,2004,Historical,446.0,,,446.0,0.0,"(2,1,2)",
Canada,2005,Historical,444.0,,,444.0,0.0,"(2,1,2)",
Canada,2006,Historical,423.0,,,423.0,0.0,"(2,1,2)",
Canada,2007,Historical,439.0,,,439.0,0.0,"(2,1,2)",
Canada,2008,Historical,440.0,,,440.0,0.0,"(2,1,2)",
Canada,2009,Historical,420.0,,,420.0,0.0,"(2,1,2)",
Canada,2010,Historical,419.0,,,419.0,0.0,"(2,1,2)",
Canada,2011,Historical,390.0,,,390.0,0.0,"(2,1,2)",
Canada,2012,Historical,469.0,,,469.0,0.0,"(2,1,2)",
Canada,2013,Historical,508.0,,,508.0,0.0,"(2,1,2)",
Canada,2014,Historical,463.0,,,463.0,0.0,"(2,1,2)",
Canada,2015,Historical,464.0,,,464.0,0.0,"(2,1,2)",
Canada,2016,Historical,437.0,,,437.0,0.0,"(2,1,2)",
Canada,2017,Historical,492.58,,,492.58,0.0,"(2,1,2)",
Canada,2018,Historical,448.64,,,448.64,0.0,"(2,1,2)",
Canada,2019,Historical,517.42,,,517.42,0.0,"(2,1,2)",
Canada,2020,Historical,456.85,,,456.85,0.0,"(2,1,2)",
Canada,2021,Historical,487.94,,,487.94,0.0,"(2,1,2)",
Canada,2022,Historical,461.39,,,461.39,0.0,"(2,1,2)",
Canada,2023,Historical,481.77,,,481.77,0.0,"(2,1,2)",
Canada,2024,Historical,465.51,,,465.51,0.0,"(2,1,2)",
Canada,2025,Forecast,491.44,,,491.44,0.0,"(2,1,2)",11.83
Canada,2026,Forecast,456.54,,,456.54,0.0,"(2,1,2)",11.83
Canada,2027,Forecast,491.02,,,491.02,0.0,"(2,1,2)",11.83
Canada,2028,Forecast,456.52,,,456.52,0.0,"(2,1,2)",11.83
Canada,2029,Forecast,491.02,,,491.02,0.0,"(2,1,2)",11.83
Canada,2030,Forecast,456.53,,,456.53,0.0,"(2,1,2)",11.83
Canada,2031,Forecast,491.02,,,491.02,0.0,"(2,1,2)",11.83
China,1971,Historical,0.0,,,2.0,2.0,"(2,1,1)",
China,1972,Historical,-2.0,,,1.0,3.0,"(2,1,1)",
China,1973,Historical,-1.0,,,2.0,3.0,"(2,1,1)",
China,1974,Historical,4.0,,,7.0,3.0,"(2,1,1)",
China,1975,Historical,12.0,,,16.0,4.0,"(2,1,1)",
China,1976,Historical,14.0,,,17.0,3.0,"(2,1,1)",
China,1977,Historical,10.0,,,24.0,14.0,"(2,1,1)",
China,1978,Historical,16.0,,,34.0,18.0,"(2,1,1)",
China,1979,Historical,41.0,,,48.0,7.0,"(2,1,1)",
China,1980,Historical,81.0,,,97.0,16.0,"(2,1,1)",
China,1981,Historical,93.0,,,107.0,14.0,"(2,1,1)",
China,1982,Historical,90.0,,,121.0,31.0,"(2,1,1)",
China,1983,Historical,95.0,,,121.0,26.0,"(2,1,1)",
China,1984,Historical,111.0,,,133.0,22.0,"(2,1,1)",
China,1985,Historical,121.0,,,143.0,22.0,"(2,1,1)",
China,1986,Historical,57.0,,,127.0,70.0,"(2,1,1)",
China,1987,Historical,42.0,,,114.0,72.0,"(2,1,1)",
China,1988,Historical,21.0,,,117.0,96.0,"(2,1,1)",
China,1989,Historical,-64.0,,,135.0,199.0,"(2,1,1)",
China,1990,Historical,10.0,,,140.0,130.0,"(2,1,1)",
China,1991,Historical,-86.0,,,132.0,218.0,"(2,1,1)",
China,1992,Historical,-253.0,,,121.0,374.0,"(2,1,1)",
China,1993,Historical,-589.0,,,98.0,687.0,"(2,1,1)",
China,1994,Historical,-441.0,,,95.0,536.0,"(2,1,1)",
China,1995,Historical,-591.0,,,110.0,701.0,"(2,1,1)",
China,1996,Historical,-749.0,,,118.0,867.0,"(2,1,1)",
China,1997,Historical,-1171.0,,,156.0,1327.0,"(2,1,1)",
China,1998,Historical,-978.0,,,147.0,1125.0,"(2,1,1)",
China,1999,Historical,-1064.0,,,185.0,1249.0,"(2,1,1)",
China,2000,Historical,-1697.0,,,221.0,1918.0,"(2,1,1)",
China,2001,Historical,-1535.0,,,250.0,1785.0,"(2,1,1)",
China,2002,Historical,-1758.0,,,266.0,2024.0,"(2,1,1)",
China,2003,Historical,-2279.0,,,331.0,2610.0,"(2,1,1)",
China,2004,Historical,-3118.0,,,286.0,3404.0,"(2,1,1)",
China,2005,Historical,-3029.0,,,353.0,3382.0,"(2,1,1)",
China,2006,Historical,-3494.0,,,321.0,3815.0,"(2,1,1)",
China,2007,Historical,-3747.0,,,379.0,4126.0,"(2,1,1)",
