COUNTRY_CODE,TARGET_YEAR,FUEL_CATEGORY,METRIC,VALUE,SOURCE_ID,NUMBER_OF_UPDATES,COLLECTION_YEAR
MMR,2030,Hydro,capacity_total_gw,7.45,169,1,2024
MMR,2030,Coal,capacity_total_gw,3.06,169,1,2024
MMR,2030,Gas,capacity_total_gw,1.67,169,1,2024
MMR,2030,Solar,capacity_total_gw,0.3,169,1,2024
MMR,2030,Other Fossil,capacity_total_gw,2.5,169,1,2024
IRL,2030,Onshore Wind,capacity_total_gw,9,113,1,2023
IRL,2030,Solar,capacity_total_gw,8,113,1,2023
IRL,2030,Offshore Wind,capacity_total_gw,5,113,1,2023
IRL,2030,Renewables,share_of_consumption_pct,80,113,1,2023
IRL,2030,Bioenergy,capacity_total_gw,0.93,117,1,2023
IRL,2030,Hydro,capacity_total_gw,0.7,117,1,2023
IRL,2030,Solar,capacity_total_gw,8,133,2,2024
IRL,2030,Onshore Wind,capacity_total_gw,9,133,2,2024
IRL,2030,Offshore Wind,capacity_total_gw,7,133,2,2024
IRL,2030,Bioenergy,capacity_total_gw,0.148,133,2,2024
IRL,2030,Hydro,capacity_total_gw,0.237,133,2,2024
IRL,2030,Other Renewables,capacity_total_gw,0.077,133,2,2024
IRL,2030,Solar,generation_twh,3.98,133,2,2024
IRL,2030,Wind,generation_twh,26.77,133,2,2024
IRL,2030,Bioenergy,generation_twh,1,133,2,2024
IRL,2030,Hydro,generation_twh,0.67,133,2,2024
IRL,2030,Other Renewables,generation_twh,0.41,133,2,2024
IRL,2030,Solar,capacity_total_gw,6.5,190,3,2024
IRL,2030,Onshore Wind,capacity_total_gw,7.16,190,3,2024
IRL,2030,Offshore Wind,capacity_total_gw,4,190,3,2024
IRL,2030,Bioenergy,capacity_total_gw,0.19,190,3,2024
IRL,2030,Hydro,capacity_total_gw,0.23,190,3,2024
IRL,2030,Other Renewables,capacity_total_gw,0.03,190,3,2024
IRL,2030,Coal,capacity_total_gw,0.04,190,3,2024
IRL,2030,Gas,capacity_total_gw,5.81,190,3,2024
IRL,2030,Other Fossil,capacity_total_gw,0.96,190,3,2024
IRL,2030,Solar,generation_twh,7.29,190,3,2024
IRL,2030,Wind,generation_twh,29.19,190,3,2024
IRL,2030,Bioenergy,generation_twh,1.33,190,3,2024
IRL,2030,Hydro,generation_twh,0.62,190,3,2024
IRL,2030,Other Renewables,generation_twh,0.09,190,3,2024
IRL,2030,Coal,generation_twh,0.28,190,3,2024
IRL,2030,Gas,generation_twh,8.89,190,3,2024
IRL,2030,Solar,share_of_generation_pct,15.29,190,3,2024
IRL,2030,Wind,share_of_generation_pct,61.21,190,3,2024
IRL,2030,Bioenergy,share_of_generation_pct,2.79,190,3,2024
IRL,2030,Hydro,share_of_generation_pct,1.3,190,3,2024
IRL,2030,Other Renewables,share_of_generation_pct,0.19,190,3,2024
IRL,2030,Coal,share_of_generation_pct,0.59,190,3,2024
IRL,2030,Gas,share_of_generation_pct,18.64,190,3,2024
IRL,2030,Battery,capacity_total_gw,1.7,206,3,2024
IRL,2030,Pumped hydro,capacity_total_gw,0.3,206,3,2024
IRL,2030,Onshore Wind,capacity_total_gw,9,207,4,2024
IRL,2030,Solar,capacity_total_gw,8,207,4,2024
IRL,2030,Offshore Wind,capacity_total_gw,5,207,4,2024
NLD,2030,Coal,generation_twh,0,76,1,2023
NLD,2030,Gas,generation_twh,28.644,76,1,2023
NLD,2030,Hydro,generation_twh,0.114,76,1,2023
NLD,2030,Nuclear,generation_twh,3.434,76,1,2023
NLD,2030,Other Fossil,generation_twh,4.439,76,1,2023
NLD,2030,Other Renewables,generation_twh,3.452,76,1,2023
NLD,2030,Solar,generation_twh,23.437,76,1,2023
NLD,2030,Wind,generation_twh,91.671,76,1,2023
NLD,2040,Coal,generation_twh,0,76,1,2023
NLD,2040,Gas,generation_twh,35.08,76,1,2023
NLD,2040,Hydro,generation_twh,0.113,76,1,2023
NLD,2040,Nuclear,generation_twh,0,76,1,2023
NLD,2040,Other Fossil,generation_twh,3.16,76,1,2023
NLD,2040,Other Renewables,generation_twh,3.448,76,1,2023
NLD,2040,Solar,generation_twh,39.49,76,1,2023
NLD,2040,Wind,generation_twh,113.655,76,1,2023
NLD,2030,Coal,share_of_generation_pct,0,76,1,2023
NLD,2030,Gas,share_of_generation_pct,18.46,76,1,2023
NLD,2030,Hydro,share_of_generation_pct,0.07,76,1,2023
NLD,2030,Nuclear,share_of_generation_pct,2.21,76,1,2023
NLD,2030,Other Fossil,share_of_generation_pct,2.86,76,1,2023
NLD,2030,Other Renewables,share_of_generation_pct,2.22,76,1,2023
NLD,2030,Solar,share_of_generation_pct,15.1,76,1,2023
NLD,2030,Wind,share_of_generation_pct,59.07,76,1,2023
NLD,2040,Coal,share_of_generation_pct,0,76,1,2023
NLD,2040,Gas,share_of_generation_pct,17.99,76,1,2023
NLD,2040,Hydro,share_of_generation_pct,0.06,76,1,2023
NLD,2040,Nuclear,share_of_generation_pct,0,76,1,2023
NLD,2040,Other Fossil,share_of_generation_pct,1.62,76,1,2023
NLD,2040,Other Renewables,share_of_generation_pct,1.77,76,1,2023
NLD,2040,Solar,share_of_generation_pct,20.26,76,1,2023
NLD,2040,Wind,share_of_generation_pct,58.3,76,1,2023
NLD,2030,Coal,capacity_total_gw,0,76,1,2023
NLD,2030,Gas,capacity_total_gw,16.56,76,1,2023
NLD,2030,Hydro,capacity_total_gw,0.04,76,1,2023
NLD,2030,Nuclear,capacity_total_gw,0.5,76,1,2023
NLD,2030,Other Renewables,capacity_total_gw,0.59,76,1,2023
NLD,2030,Solar,capacity_total_gw,25.75,76,1,2023
NLD,2030,Wind,capacity_total_gw,23.2,76,1,2023
NLD,2040,Gas,capacity_total_gw,20.53,76,1,2023
NLD,2040,Nuclear,capacity_total_gw,0,76,1,2023
NLD,2040,Other Renewables,capacity_total_gw,0.59,76,1,2023
NLD,2040,Coal,capacity_total_gw,0,76,1,2023
NLD,2040,Hydro,capacity_total_gw,0.04,76,1,2023
NLD,2030,Solar,capacity_total_gw,25.75,180,2,2024
NLD,2030,Wind,capacity_total_gw,23.2,180,2,2024
NLD,2030,Hydro,capacity_total_gw,0.04,180,2,2024
NLD,2030,Other Renewables,capacity_total_gw,0.59,180,2,2024
NLD,2030,Gas,capacity_total_gw,16.56,180,2,2024
NLD,2030,Nuclear,capacity_total_gw,0.5,180,2,2024
NLD,2030,Solar,generation_twh,23.44,180,2,2024
NLD,2030,Wind,generation_twh,91.67,180,2,2024
NLD,2030,Hydro,generation_twh,0.11,180,2,2024
NLD,2030,Other Renewables,generation_twh,3.45,180,2,2024
NLD,2030,Gas,generation_twh,28.64,180,2,2024
NLD,2030,Other Fossil,generation_twh,4.44,180,2,2024
NLD,2030,Nuclear,generation_twh,3.43,180,2,2024
NLD,2030,Solar,share_of_generation_pct,15,180,2,2024
NLD,2030,Wind,share_of_generation_pct,59,180,2,2024
NLD,2030,Hydro,share_of_generation_pct,0,180,2,2024
NLD,2030,Other Renewables,share_of_generation_pct,2,180,2,2024
NLD,2030,Gas,share_of_generation_pct,18,180,2,2024
NLD,2030,Other Fossil,share_of_generation_pct,3,180,2,2024
NLD,2030,Nuclear,share_of_generation_pct,2,180,2,2024
NLD,2030,Battery,capacity_total_gw,9,196,2,2024
NLD,2030,Coal,capacity_total_gw,,180,2,2024
NLD,2030,Coal,share_of_generation_pct,,180,2,2024
NLD,2030,Coal,generation_twh,,180,2,2024
PHL,2022,Coal,capacity_additional_mw,0,44,1,2023
PHL,2030,Coal,capacity_additional_mw,0,44,1,2023
PHL,2035,Coal,capacity_additional_mw,0,44,1,2023
PHL,2040,Coal,capacity_additional_mw,0,44,1,2023
PHL,2022,Gas,capacity_additional_mw,0,44,1,2023
PHL,2030,Gas,capacity_additional_mw,1820,44,1,2023
PHL,2035,Gas,capacity_additional_mw,9720,44,1,2023
PHL,2040,Gas,capacity_additional_mw,19060,44,1,2023
PHL,2022,Other Renewables,capacity_additional_mw,0,44,1,2023
PHL,2030,Other Renewables,capacity_additional_mw,400,44,1,2023
