SOURCE_ID,COUNTRY_CODE,SOURCE_NAME,PUBLISHER,SOURCE_TYPE,ANNOUNCEMENT_DATE,LINK,SOURCE_SUMMARY,NOTES,INCLUDE_IN_TOOL
101,FIN,Renewable capacity in 2022,Ember,Assumption,2022-12-01,,"Finland does not have bioenergy capacity target. Since projected generation for bioenergy exhibits little change in generation in comparison to its increase in electricity demand, we assume no growth in bioenergy capacity.",,FALSE
102,ISL,Iceland’s National Plan,Ministry for the Environment and Natural Resources,Assumption,2020-11-01,https://www.stjornarradid.is/library/02-Rit--skyrslur-og-skrar/Iceland%20National%20Plan%202020.pdf,"In September 2018, the Icelandic Government announced a Climate Action Plan, revised in June 2020 with elaborated measures and increased funding. The plan is Iceland’s main document that outlines necessary commitments for the country to reach its net-zero goal by 2040. The plan was developed in accordance with Iceland’s and Norway’s Declaration on national plans related to the Decision of the EEA Joint Committee No 269/2019. Furthermore, In June 2012, the Icelandic Parliament passed a law on climate change (Act No 70/2012).

Iceland is unique because it already fuels most of its electricity sector from carbon-free sources, such as geothermal energy and hydro. Since Iceland already generates all its electricity from renewables and does not have plans to build fossil power plants, we assume they will maintain 100% renewable generation. ","p.9 ""Almost all electricity and heating are provided for by renewable energy, hydro and
geothermal."" 

""Electricity is mostly produced by hydro power, but also by harnessing geothermal steam. Today Iceland enjoys virtually carbon-free electricity and heating. Fossil fuels are used in transport and fisheries, and now the aim is set to decarbonize those sectors.""",FALSE
119,DNK,Renewable capacity in 2022,Ember,Assumption,2022-12-01,,"Denmark does not have capacity targets for bioenergy and hydro. The NECP's generation projections for these two technologies decline over time or show little change. Therefore, we assume that there will be no change in their generation capacity.",,FALSE
148,COD,Renewable capacity in 2022,Ember,Assumption,2022-01-01,,"The Democratic Republic of Congo does not have renewable target. Therefore, we take renewable capacity in 2022, assuming no growth. ",,FALSE
192,MYS,Ember's analysis of Malaysia's Electricity Generation,Ember,Assumption,2024-07-31,,"Malaysia's future generation data has been calculated by the Asia Policy team at Ember, using capacity factors from each fuel type. The methodology has been reviewed and acknowledged by external stakeholders, including the Sustainable Energy Development Authority Malaysia (SEDA Malaysia).",,FALSE
4,USA,Executive Order 14008 on Tackling the Climate Crisis at Home and Abroad,The White House,Executive order,2021-01-01,https://www.whitehouse.gov/briefing-room/presidential-actions/2021/01/27/executive-order-on-tackling-the-climate-crisis-at-home-and-abroad/,"In 2021, the Biden Administration issued the Executive Order that called for ""doubling offshore wind by 2030"".",,FALSE
5,USA,White House Announcement,The White House,Executive order,2021-01-01,https://www.whitehouse.gov/briefing-room/statements-releases/2021/03/29/fact-sheet-biden-administration-jumpstarts-offshore-wind-energy-projects-to-create-jobs/,"The Departments of Interior (DOI), Energy (DOE), and Commerce (DOC) announced a shared goal to deploy 30 gigawatts (GW) of offshore wind in the United States by 2030.",,FALSE
1,GBR,British energy security strategy,The Department for Energy Security and Net Zero,National strategy or plans (approved),2022-04-02,https://www.gov.uk/government/publications/british-energy-security-strategy/british-energy-security-strategy,"In 2022, the British government announced the ambition to reach 95% of low-carbon grid by 2030, and 100% clean by 2050 in the British Energy Security Strategy. To reach this goal, they set the following targets for renewable capacity: Offshore wind: ""Up to 50GW offshore – Including up to 5GW floating offshore wind capacity"" - Nuclear: ""up to 24 gigawatts by 2050, around 25% of our their 2050 electricity demand."" - 70 gigawatts of ground and rooftop capacity together by 2035.",,FALSE
2,FRA,National Energy Climate Plan of France,Government of France,National strategy or plans (approved),2023-11-21,https://commission.europa.eu/publications/france-draft-updated-necp-2021-2030_en,"Under the EU Regulation on the Governance of Energy Union and Climate Action (EU 2018/21999), adopted in 2019 as part of the Clean Energy for All Europeans Package, all EU countries must submit 10-year national energy and climate plans (NECPs) to outline how they intend to meet the EU energy and climate targets for 2030. In line with Article 14 of the Governance Regulation, EU member countries were required to submit their draft updated NECPs to the EU Commission. The Plan is France's updated NECP, submitted in November 2023. Capacity figures are provided in a range, of which the lower trajectories are taken.",p. 51,FALSE
11,CHN,Xi Jinping at 2020 UN Climate Action Summit,Xi Jinping,National strategy or plans (approved),2020-12-12,http://www.xinhuanet.com/politics/leaders/2020-12/12/c_1126853600.htm,"President Xi Jinping announced that China's solar and wind capacity will reach at least 1,200 GW by 2030. The 14th Five-year Plan for Renewable Energy reiterates this target. ",,FALSE
16,JPN,6th Strategic Energy Plan - Outlook for energy supply and demand in 2030,Agency for Natural Resources and Energy,National strategy or plans (approved),2021-11-26,https://www.enecho.meti.go.jp/category/others/basic_plan/,"The 6th Strategic Energy Plan - Outlook for energy supply and demand in FY2030 provides projections on electricity supply and demand give estimates for power demand, capacity and generation by renewable technology.",Storage: p. 49,FALSE
17,JPN,Outline of 6th Strategic Energy Plan - ENG,Agency for Natural Resources and Energy,National strategy or plans (approved),2021-11-26,https://www.enecho.meti.go.jp/en/category/others/basic_plan/pdf/6th_outline.pdf,"Japan's 6th Strategic Energy Plan set a goal to reach at least 38% of renewables by 2030, which is further broken down by technology.","Storage: p. 48: ""We will promote the conversion of on-board storage batteries to stationary storage batteries. In addition, in order to further reduce costs, it is necessary to expand the scale of domestic production, so in order to promote investment in manufacturing equipment, we will increase the cumulative total of approximately 24GWh in 2030 for household, commercial and industrial use""",FALSE
19,KOR,10th Basic Electricity Supply and Demand Plan,"Ministry of Trade, Industry and Energy",National strategy or plans (approved),2023-01-13,https://www.motie.go.kr/motie/ms/nt/announce3/bbs/bbsView.do?bbs_seq_n=68162&bbs_cd_n=6&currentPage=1&search_key_n=&cate_n=&dept_v=&search_val_v=&biz_anc_yn_c=,"This government plan lays out power demand projections and future trends in the power sector. Accordingly, the plan sets goals for power generation capacity deployment and their projected generation by technology, for years up to 2036. The overall target for renewables for 2036 is 45.3%. Solar data includes off-grid ones for self-consumption.","p.88-89: Future capacity and generation (2030)
Solar capacity includes self-generation (assuming all renewable self-generation is solar).
Demand (=generation) is the ""target demand"" provided on page 78. 
Excludes New Energy. ",FALSE
20,IDN,RUPTL 2021-30,PLN,National strategy or plans (approved),2021-10-01,https://web.pln.co.id/statics/uploads/2021/10/ruptl-2021-2030.pdf,"The state-owned utility company, PLN, lays power generation capacity deployment plans for years 2021-2030 by technology, based on the government target of reaching 23% share of renewables in the energy mix by 2025. Targets are given in terms of additional capacity deployment only (No generation projections). As JET-P agreement calls for higher renewable share (34% by 2030), a new RUPTL is being drafted. ",,FALSE
24,VNM,"THE NATIONAL ELECTRICITY DEVELOPMENT PLAN FOR 2021 - 2030, VISION TO 2050",Ministry of Industry and Trade,National strategy or plans (approved),2023-05-15,https://thuvienphapluat.vn/van-ban/Thuong-mai/Quyet-dinh-500-QD-TTg-2023-Quy-hoach-phat-trien-dien-luc-quoc-gia-2021-2030-tam-nhin-2050-566461.aspx,"The 8th power development plan sets goals for electricity sources and transmission grid for 2030. The goals are set based on the assumption that Viet Nam's GDP will grow at the rate of 7% per year by 2030. The plan strives to reach 47% renewables in power mix by 2030, in accordance witth the requirements made by the Just Energy Transition Partnership. ","The document that approves PDP8 is published in Vietnamese. The targets are taken from page 9 of the Google-translated document. When targets are given as a range, take the highest number (eg. Solar). Solar capacity target includes self-generation. The source gives estimated generation from solar and hydro, but not for others. We don't calculate technology-breakdown of RES share targets. 

+ Vietnam's solar power potential is about 963,000 MW (about 837,400 MW on the ground, about 77,400 MW on the water surface and about 48,200 MW on the roof). From now to 2030, the total capacity of solar power sources is expected to increase by 4,100 MW; 

 Storage power source:
+ Develop pumped storage hydropower plants with a capacity of about 2,400 MW by 2030 to regulate load, reserve capacity and support the integration of renewable energy sources on a large scale.
+ Storage batteries are developed when they are reasonably priced and are distributed near wind and solar power centers or load centers. By 2030, it is expected to reach a capacity of about 300 MW.",FALSE
26,BRA,"The Ten-Year Energy Expansion Plan, PDE 2031",Ministry of Mines and Energy (MME,National strategy or plans (approved),2022-09-05,https://www.epe.gov.br/pt/publicacoes-dados-abertos/publicacoes/plano-decenal-de-expansao-de-energia-2031,"The Ten-year Energy Expansion Plan (PDE) provides an outlook for the energy sector development pathways. While PDE does not determine Brazil's capacity targets, its modelling study reflects on the effect of current energy policies, projects in the pipeline and latest NDC commitment.","Data taken from the Dashboard on the website ""PDE 2031 Consolidation Panel"".",FALSE
27,AUS,Powering Australia,"Department of Climate change, Energy, the Environment and Water",National strategy or plans (approved),2022-01-01,https://www.energy.gov.au/government-priorities/australias-energy-strategies-and-frameworks/powering-australia#toc-anchor-electricity," After enshrining net-zero target by 2050, Australia developed Powering Australia Plan that lays out action plans and budgets while ensuring job creation and energy affordability. The Plan reiterates its goal to reach 82% of renewables in total generation by 2030. ","""Funding of $14.5 million in the 2023-24 Budget to accelerate the Offshore Renewable Growth Strategy and regulatory approvals to invest in our offshore energy industry to reach 82 per cent renewables by 2030 and make energy cheaper, cleaner and more reliable.""",FALSE
34,FRA,Integrated National Energy and Climate Plan for France,Government of France,National strategy or plans (approved),2020-03-01,https://energy.ec.europa.eu/system/files/2022-08/fr_final_necp_main_en.pdf,"Under the EU Regulation on the governance of energy union and climate action (EU 2018/21999), adopted in 2019 as part of the Clean Energy for All Europeans Package, all EU countries must submit 10-year national energy and climate plans (NECPs) to outline how they intend to meet the EU energy and climate targets for 2030. In line with Article 14 of the Governance Regulation, EU member countries were requried to submit their draft updated NECPS to the EU Commission. France has not submitted its updated NECP plans yet, as of August 9, 2023.","p. 8, ""Targets relating to renewable energies were set in the Law on Energy Transition for Green Growth and updated in the 2019 Law on Energy and Climate. According to current plans, the share of renewable energies will be increased to 23% of gross final energy consumption by 2020, and to 33% by 2030. By this date, renewable energies must account for at least 40% of electricity production""
When target is given as a range, then we take the lower end.",FALSE
35,THA,National Energy Policy resolution 1/2023 (No.164),Ministry of Energy,National strategy or plans (approved),2023-01-01,https://www.eppo.go.th/epposite/index.php/th/component/k2/itemlist/category/429-resolutionsnepc,"Thailand's Minisry of Energy published a 20-year power sector development plan (AEDP) in 2020, with a goal to reach 37% renewables by 2037. During COP26 (2021), Thailand has announced a goal to achieve net-zero 2065. The which would make this plan outdated. The AEDP needs to be updated to align with their net-zero goal. ",https://www.eppo.go.th/epposite/index.php/th/component/k2/itemlist/category/429-resolutionsnepc,FALSE
38,FRA,Ecological Planning in Energy,Government of France,National strategy or plans (approved),2023-06-12,https://www.gouvernement.fr/france-nation-verte/mieux-produire#fr-sidemenu__link-ca6d3801-0137-4ea8-a357-62bd0f6cdb25,"The French government has made ""ecological transition"" as its policy priority and commenced a cross-sectoral mobilisation plan, ""France Nation Verte"". A detailed decarbonisation strategy (also known as ""Ecological Planning"") for the power sector is included in this plan. This document provides projected electricity production by fuel for 2030, under the ""accelerated renewable ambition"" scenario. ",p. 24 Accelerated renewable ambition 2030,FALSE
46,MYS,Malaysia Renewable Energy Roadmap,Sustainable Energy Development Authority Malaysia (SEDA),National strategy or plans (approved),2021-01-01,https://www.seda.gov.my/reportal/wp-content/uploads/2021/12/MyRER_webVer-1.pdf,"The Renewable Energy Roadmap by SEDA lays out power sector pathways for meeting the government target to reach 31% renewable share in generation capacity mix by 2035, as well as its NDC. We consider data from the ""New Capacity Target"" scenario, which is aligned with the government target, and capacity development plans of the power sector or Peninsular Malaysia, Sabah and Sarawak. 

While the Roadmap does not constitute a national ""target"", the Roadmap is likely to be reflected in the next draft of Malaysia's renewable energy policy. In addition, as Malaysia's renewable target is expressed in terms of % of total power capacity by 2035, this study can be used as an estimate for the generation mix in 2030. There is no technology breakdown for non-hydro renewables. We consider large hydro as ""renewables"", which is exhibited separately in this Roadmap.","p. X Malaysia Renewable Energy Roadmap (MyRER) projected to increase the share of RE to 31% or 12.9 GW in 2025, and 40% or 18.0 GW in 2035. ;
p. 117: Figure 7-13: Figure 7-13: Generation mix for Malaysia for BAU and New Capacity Target scenarios, 2021-2035
p. 115: Figure 7-11: Capacity mix for Malaysia for BAU and New Capacity Target scenarios, 2020-2035

Since the figures are given as a graph, WebPlotDigitizer is used.",FALSE
50,MEX,National Electrical System Development Program 2023-2037 (PRODESEN),Ministry of Energy,National strategy or plans (approved),2023-03-29,https://www.gob.mx/sener/articulos/programa-de-desarrollo-del-sistema-electrico-nacional-2023-2037,"Mexico's Ministry of Energy (SENER) published the National Electric System Development Program 2023-2037 (PRODESEN), which is a detailed planning of the National Electric System (SEN) until 2037, including the indicative program for the installation and retirement of power plants (PIIRCE). SENER is the highest authority in the energy sector and is mandated to establish and formulate power sector development plans. The details in this document are aligned with the National Development Plan 2019-2024. While the document does not reiterate Mexico's NDC, the planning takes its international commitment to the Paris Agreement into consideration. ","p. 55 Figure 4.3,
p. 60 Figure 4.11",FALSE
58,CHL,Planificación Energética de Largo Plazo - Proyecciones Eléctricas,Ministry of Energy,National strategy or plans (approved),2021-09-08,https://energia.gob.cl/pelp/proyecciones-electricas,"PELP is a modeling and development of long-term energy scenarios, which form the basis of the National Energy Policy. Here, we reference the ""Accelerated Transition"" scenario to reflect its national ambition to archieve 100% renewables by 2050. ","Data download from this link https://energia.gob.cl/pelp/proyecciones-electricas  

",FALSE
61,MAR,Morocco Renewable Energy Target 2030,"International Energy Agency, Ministry of Energy, Mines and Environment Morocco",National strategy or plans (approved),2015-01-01,https://www.mem.gov.ma/en/Pages/secteur.aspx?e=2,"The Ministry has set a target to increase the share of renewable energies from to 52% by 2030. MASEN, an agency established to implement the national target, re-iterates the target in its latest mission statement. Morocco does not lay out how much of actual capacity this percentage target would translate to. ",,FALSE
