region_country,year,ev_sales,type
Australia,2011,49.0,Actual
Australia,2012,170.0,Actual
Australia,2013,190.0,Actual
Australia,2014,370.0,Actual
Australia,2015,760.0,Actual
Australia,2016,670.0,Actual
Australia,2017,1200.0,Actual
Australia,2018,1800.0,Actual
Australia,2019,6300.0,Actual
Australia,2020,5200.0,Actual
Australia,2021,17000.0,Actual
Australia,2022,33000.0,Actual
Australia,2023,87000.0,Actual
Australia,2024,91000.0,Actual
Australia,2025,111686.2007157772,Forecast
Australia,2026,118109.5982146889,Forecast
Australia,2027,120662.55411432,Forecast
Australia,2028,121629.7253342062,Forecast
Australia,2029,121989.4403837021,Forecast
Australia,2030,122122.3080795712,Forecast
Australia,2031,122171.2602256932,Forecast
Australia,2032,122189.2785895065,Forecast
Australia,2033,122195.9085124469,Forecast
Australia,2034,122198.3477058213,Forecast
Australia,2035,122199.2450594182,Forecast
Austria,2013,650.0,Actual
Austria,2014,1700.0,Actual
Austria,2015,1700.0,Actual
Austria,2016,3800.0,Actual
Austria,2017,5400.0,Actual
Austria,2018,6800.0,Actual
Austria,2019,9300.0,Actual
Austria,2020,16000.0,Actual
Austria,2021,33000.0,Actual
Austria,2022,34000.0,Actual
Austria,2023,48000.0,Actual
Austria,2024,45000.0,Actual
Austria,2025,52968.4354529663,Forecast
Austria,2026,55036.4081816093,Forecast
Austria,2027,56205.3517624783,Forecast
Austria,2028,56848.5593352047,Forecast
Austria,2029,57197.2471929645,Forecast
Austria,2030,57384.7475308283,Forecast
Austria,2031,57485.1329612927,Forecast
Austria,2032,57538.7524749018,Forecast
Austria,2033,57567.3568087082,Forecast
Austria,2034,57582.6061446168,Forecast
Austria,2035,57590.7328677668,Forecast
Belgium,2010,48.0,Actual
Belgium,2011,280.0,Actual
Belgium,2012,570.0,Actual
Belgium,2013,500.0,Actual
Belgium,2014,1300.0,Actual
Belgium,2015,1400.0,Actual
Belgium,2016,2100.0,Actual
Belgium,2017,2700.0,Actual
Belgium,2018,3600.0,Actual
Belgium,2019,8800.0,Actual
Belgium,2020,15000.0,Actual
Belgium,2021,23000.0,Actual
Belgium,2022,38000.0,Actual
Belgium,2023,93000.0,Actual
Belgium,2024,130000.0,Actual
Belgium,2025,170629.5269503086,Forecast
Belgium,2026,195033.8714372878,Forecast
Belgium,2027,207669.309881013,Forecast
Belgium,2028,213554.9674254754,Forecast
Belgium,2029,216161.1531077612,Forecast
Belgium,2030,217289.2305512526,Forecast
Belgium,2031,217772.7007851593,Forecast
Belgium,2032,217979.0255135602,Forecast
Belgium,2033,218066.9161609546,Forecast
Belgium,2034,218104.3269850475,Forecast
Belgium,2035,218120.2457183937,Forecast
Brazil,2010,10.0,Actual
Brazil,2011,8.0,Actual
Brazil,2012,22.0,Actual
Brazil,2013,39.0,Actual
Brazil,2014,61.0,Actual
Brazil,2015,61.0,Actual
Brazil,2016,130.0,Actual
Brazil,2017,140.0,Actual
Brazil,2018,180.0,Actual
Brazil,2019,540.0,Actual
Brazil,2020,800.0,Actual
Brazil,2021,2900.0,Actual
Brazil,2022,8500.0,Actual
Brazil,2023,19000.0,Actual
Brazil,2024,62000.0,Actual
Brazil,2025,139887.7920822271,Forecast
Brazil,2026,274020.0988632886,Forecast
Brazil,2027,423356.3125564583,Forecast
Brazil,2028,529518.3516214945,Forecast
Brazil,2029,583330.9208654544,Forecast
Brazil,2030,605986.2837971138,Forecast
Brazil,2031,614769.9161799294,Forecast
Brazil,2032,618065.6450715861,Forecast
Brazil,2033,619286.9844017986,Forecast
Brazil,2034,619737.5053985424,Forecast
Brazil,2035,619903.4077820976,Forecast
Bulgaria,2015,21.0,Actual
Bulgaria,2016,5.0,Actual
Bulgaria,2017,68.0,Actual
Bulgaria,2018,190.0,Actual
Bulgaria,2019,180.0,Actual
Bulgaria,2020,140.0,Actual
Bulgaria,2021,430.0,Actual
Bulgaria,2022,1000.0,Actual
Bulgaria,2023,1800.0,Actual
Bulgaria,2024,1700.0,Actual
Bulgaria,2025,2048.5380865616,Forecast
Bulgaria,2026,2117.6128197217,Forecast
Bulgaria,2027,2144.2107696547,Forecast
Bulgaria,2028,2154.164502722,Forecast
Bulgaria,2029,2157.8495681246,Forecast
Bulgaria,2030,2159.2084021547,Forecast
Bulgaria,2031,2159.7087199491,Forecast
Bulgaria,2032,2159.8928349226,Forecast
Bulgaria,2033,2159.9605749348,Forecast
Bulgaria,2034,2159.9854961617,Forecast
Bulgaria,2035,2159.9946643134,Forecast
Canada,2011,220.0,Actual
Canada,2012,620.0,Actual
Canada,2013,1600.0,Actual
Canada,2014,2800.0,Actual
Canada,2015,4400.0,Actual
Canada,2016,5200.0,Actual
Canada,2017,8700.0,Actual
Canada,2018,23000.0,Actual
Canada,2019,32000.0,Actual
Canada,2020,37000.0,Actual
Canada,2021,59000.0,Actual
Canada,2022,91000.0,Actual
Canada,2023,130000.0,Actual
