Country,Year,Type,Value,Lower_CI,Upper_CI,ARIMA_Order,MAPE
Algeria,1971,Historical,729.0,,,"(1,1,1)",
Algeria,1972,Historical,990.0,,,"(1,1,1)",
Algeria,1973,Historical,1015.0,,,"(1,1,1)",
Algeria,1974,Historical,938.0,,,"(1,1,1)",
Algeria,1975,Historical,913.0,,,"(1,1,1)",
Algeria,1976,Historical,1040.0,,,"(1,1,1)",
Algeria,1977,Historical,1024.0,,,"(1,1,1)",
Algeria,1978,Historical,1082.0,,,"(1,1,1)",
Algeria,1979,Historical,1091.0,,,"(1,1,1)",
Algeria,1980,Historical,957.0,,,"(1,1,1)",
Algeria,1981,Historical,1012.0,,,"(1,1,1)",
Algeria,1982,Historical,879.0,,,"(1,1,1)",
Algeria,1983,Historical,874.0,,,"(1,1,1)",
Algeria,1984,Historical,930.0,,,"(1,1,1)",
Algeria,1985,Historical,953.0,,,"(1,1,1)",
Algeria,1986,Historical,1000.0,,,"(1,1,1)",
Algeria,1987,Historical,1024.0,,,"(1,1,1)",
Algeria,1988,Historical,1041.0,,,"(1,1,1)",
Algeria,1989,Historical,1057.0,,,"(1,1,1)",
Algeria,1990,Historical,1127.0,,,"(1,1,1)",
Algeria,1991,Historical,1099.0,,,"(1,1,1)",
Algeria,1992,Historical,1091.0,,,"(1,1,1)",
Algeria,1993,Historical,1105.0,,,"(1,1,1)",
Algeria,1994,Historical,1098.0,,,"(1,1,1)",
Algeria,1995,Historical,1103.0,,,"(1,1,1)",
Algeria,1996,Historical,1175.0,,,"(1,1,1)",
Algeria,1997,Historical,1230.0,,,"(1,1,1)",
Algeria,1998,Historical,1258.0,,,"(1,1,1)",
Algeria,1999,Historical,1294.0,,,"(1,1,1)",
Algeria,2000,Historical,1390.0,,,"(1,1,1)",
Algeria,2001,Historical,1383.0,,,"(1,1,1)",
Algeria,2002,Historical,1437.0,,,"(1,1,1)",
Algeria,2003,Historical,1598.0,,,"(1,1,1)",
Algeria,2004,Historical,1654.0,,,"(1,1,1)",
Algeria,2005,Historical,1736.0,,,"(1,1,1)",
Algeria,2006,Historical,1695.0,,,"(1,1,1)",
Algeria,2007,Historical,1688.0,,,"(1,1,1)",
Algeria,2008,Historical,1608.0,,,"(1,1,1)",
Algeria,2009,Historical,1449.0,,,"(1,1,1)",
Algeria,2010,Historical,1351.0,,,"(1,1,1)",
Algeria,2011,Historical,1324.0,,,"(1,1,1)",
Algeria,2012,Historical,1249.0,,,"(1,1,1)",
Algeria,2013,Historical,1182.0,,,"(1,1,1)",
Algeria,2014,Historical,1212.0,,,"(1,1,1)",
Algeria,2015,Historical,1233.0,,,"(1,1,1)",
Algeria,2016,Historical,1241.0,,,"(1,1,1)",
Algeria,2017,Historical,1191.15452,,,"(1,1,1)",
Algeria,2018,Historical,1091.754493,,,"(1,1,1)",
Algeria,2019,Historical,1080.450627,,,"(1,1,1)",
Algeria,2020,Historical,928.825814,,,"(1,1,1)",
Algeria,2021,Historical,926.280951,,,"(1,1,1)",
Algeria,2022,Historical,971.789792,,,"(1,1,1)",
Algeria,2023,Historical,984.695022,,,"(1,1,1)",
Algeria,2024,Historical,933.8442715999954,,,"(1,1,1)",
Algeria,2025,Forecast,924.9655949146331,807.2055804566394,1042.7256093726269,"(1,1,1)",12.33
Algeria,2026,Forecast,921.1826881372223,737.8244310350586,1104.540945239386,"(1,1,1)",12.33
Algeria,2027,Forecast,919.570918253747,682.5137792478181,1156.6280572596759,"(1,1,1)",12.33
Algeria,2028,Forecast,918.8841970866301,635.9849678678784,1201.783426305382,"(1,1,1)",12.33
Algeria,2029,Forecast,918.5916081964906,595.4583221900866,1241.7248942028946,"(1,1,1)",12.33
Algeria,2030,Forecast,918.4669458695778,559.2548591273219,1277.6790326118337,"(1,1,1)",12.33
Algeria,2031,Forecast,918.4138314271808,526.301579537251,1310.5260833171105,"(1,1,1)",12.33
Angola,1971,Historical,97.0,,,"(2,1,1)",
Angola,1972,Historical,140.0,,,"(2,1,1)",
Angola,1973,Historical,152.0,,,"(2,1,1)",
Angola,1974,Historical,155.0,,,"(2,1,1)",
Angola,1975,Historical,144.0,,,"(2,1,1)",
Angola,1976,Historical,142.0,,,"(2,1,1)",
Angola,1977,Historical,132.0,,,"(2,1,1)",
Angola,1978,Historical,115.0,,,"(2,1,1)",
Angola,1979,Historical,123.0,,,"(2,1,1)",
Angola,1980,Historical,130.0,,,"(2,1,1)",
Angola,1981,Historical,105.0,,,"(2,1,1)",
Angola,1982,Historical,105.0,,,"(2,1,1)",
Angola,1983,Historical,154.0,,,"(2,1,1)",
Angola,1984,Historical,186.0,,,"(2,1,1)",
Angola,1985,Historical,208.0,,,"(2,1,1)",
Angola,1986,Historical,263.0,,,"(2,1,1)",
Angola,1987,Historical,330.0,,,"(2,1,1)",
Angola,1988,Historical,430.0,,,"(2,1,1)",
Angola,1989,Historical,427.0,,,"(2,1,1)",
Angola,1990,Historical,450.0,,,"(2,1,1)",
Angola,1991,Historical,473.0,,,"(2,1,1)",
Angola,1992,Historical,522.0,,,"(2,1,1)",
Angola,1993,Historical,478.0,,,"(2,1,1)",
Angola,1994,Historical,516.0,,,"(2,1,1)",
Angola,1995,Historical,584.0,,,"(2,1,1)",
Angola,1996,Historical,637.0,,,"(2,1,1)",
Angola,1997,Historical,679.0,,,"(2,1,1)",
Angola,1998,Historical,713.0,,,"(2,1,1)",
Angola,1999,Historical,711.0,,,"(2,1,1)",
Angola,2000,Historical,762.0,,,"(2,1,1)",
Angola,2001,Historical,708.0,,,"(2,1,1)",
Angola,2002,Historical,864.0,,,"(2,1,1)",
Angola,2003,Historical,840.0,,,"(2,1,1)",
Angola,2004,Historical,952.0,,,"(2,1,1)",
Angola,2005,Historical,1220.0,,,"(2,1,1)",
Angola,2006,Historical,1387.0,,,"(2,1,1)",
Angola,2007,Historical,1684.0,,,"(2,1,1)",
Angola,2008,Historical,1868.0,,,"(2,1,1)",
Angola,2009,Historical,1791.0,,,"(2,1,1)",
Angola,2010,Historical,1730.0,,,"(2,1,1)",
Angola,2011,Historical,1567.0,,,"(2,1,1)",
Angola,2012,Historical,1672.0,,,"(2,1,1)",
Angola,2013,Historical,1684.0,,,"(2,1,1)",
Angola,2014,Historical,1626.0,,,"(2,1,1)",
Angola,2015,Historical,1731.0,,,"(2,1,1)",
Angola,2016,Historical,1689.0,,,"(2,1,1)",
Angola,2017,Historical,1600.590023,,,"(2,1,1)",
Angola,2018,Historical,1445.8801290000001,,,"(2,1,1)",
Angola,2019,Historical,1340.356023,,,"(2,1,1)",
Angola,2020,Historical,1245.010079,,,"(2,1,1)",
Angola,2021,Historical,1098.760669,,,"(2,1,1)",
Angola,2022,Historical,1102.223899,,,"(2,1,1)",
Angola,2023,Historical,1075.5899889999998,,,"(2,1,1)",
Angola,2024,Historical,970.6926573999517,,,"(2,1,1)",
Angola,2025,Forecast,904.9905503441316,756.312780416478,1053.6683202717854,"(2,1,1)",13.18
Angola,2026,Forecast,849.7058803948597,602.5102642899925,1096.9014964997268,"(2,1,1)",13.18
Angola,2027,Forecast,797.2011947754087,466.7717103836199,1127.6306791671975,"(2,1,1)",13.18
Angola,2028,Forecast,745.4495546492682,340.88342432385116,1150.0156849746852,"(2,1,1)",13.18
Angola,2029,Forecast,693.9130168470608,220.84034040559175,1166.98569328853,"(2,1,1)",13.18
Angola,2030,Forecast,642.4488084334705,104.54233996122218,1180.3552769057187,"(2,1,1)",13.18
Angola,2031,Forecast,591.0190322092542,-9.198150157828763,1191.2362145763373,"(2,1,1)",13.18
Canada,1971,Historical,807.0,,,"(2,1,2)",
Canada,1972,Historical,1073.0,,,"(2,1,2)",
Canada,1973,Historical,1274.0,,,"(2,1,2)",
Canada,1974,Historical,1039.0,,,"(2,1,2)",
Canada,1975,Historical,877.0,,,"(2,1,2)",
Canada,1976,Historical,617.0,,,"(2,1,2)",
