Country,Year,Type,Net_Trade,Net_CI_Low,Net_CI_High,Exports,Imports,Exports_Order,Imports_Order,Avg_MAPE
Brazil,1971,Historical,-425.0,,,19.0,444.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1972,Historical,-497.0,,,46.0,543.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1973,Historical,-676.0,,,62.0,738.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1974,Historical,-667.0,,,61.0,728.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1975,Historical,-678.0,,,51.0,729.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1976,Historical,-785.0,,,68.0,853.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1977,Historical,-793.0,,,47.0,840.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1978,Historical,-880.0,,,38.0,918.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1979,Historical,-1006.0,,,17.0,1023.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1980,Historical,-888.0,,,26.0,914.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1981,Historical,-790.0,,,83.0,873.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1982,Historical,-755.0,,,117.0,872.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1983,Historical,-654.0,,,106.0,760.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1984,Historical,-496.0,,,167.0,663.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1985,Historical,-431.0,,,150.0,581.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1986,Historical,-530.0,,,115.0,645.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1987,Historical,-531.0,,,139.0,670.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1988,Historical,-577.0,,,148.0,725.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1989,Historical,-554.0,,,118.0,672.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1990,Historical,-562.0,,,79.0,641.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1991,Historical,-564.0,,,61.0,625.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1992,Historical,-578.0,,,74.0,652.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1993,Historical,-667.0,,,114.0,781.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1994,Historical,-676.0,,,103.0,779.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1995,Historical,-701.0,,,55.0,756.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1996,Historical,-814.0,,,40.0,854.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1997,Historical,-838.0,,,45.0,883.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1998,Historical,-785.0,,,85.0,870.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,1999,Historical,-708.0,,,76.0,784.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,2000,Historical,-593.0,,,117.0,710.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,2001,Historical,-483.0,,,253.0,736.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,2002,Historical,-282.0,,,390.0,672.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,2003,Historical,-160.0,,,410.0,570.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,2004,Historical,-251.0,,,412.0,663.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,2005,Historical,-113.0,,,451.0,564.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,2006,Historical,-36.0,,,554.0,590.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,2007,Historical,-97.0,,,614.0,711.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,2008,Historical,-123.0,,,590.0,713.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,2009,Historical,14.0,,,680.0,666.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,2010,Historical,-53.0,,,755.0,808.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,2011,Historical,-126.0,,,727.0,853.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,2012,Historical,-219.0,,,647.0,866.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,2013,Historical,-373.0,,,528.0,901.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,2014,Historical,-235.0,,,643.0,878.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,2015,Historical,87.0,,,849.0,762.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,2016,Historical,308.0,,,951.0,643.0,"(1, 1, 1)","(2, 0, 1)",
Brazil,2017,Historical,398.67,,,1153.02,754.35,"(1, 1, 1)","(2, 0, 1)",
Brazil,2018,Historical,510.64,,,1240.19,729.55,"(1, 1, 1)","(2, 0, 1)",
Brazil,2019,Historical,616.78,,,1391.08,774.3,"(1, 1, 1)","(2, 0, 1)",
Brazil,2020,Historical,969.65,,,1628.37,658.72,"(1, 1, 1)","(2, 0, 1)",
Brazil,2021,Historical,736.39,,,1486.86,750.47,"(1, 1, 1)","(2, 0, 1)",
Brazil,2022,Historical,715.47,,,1601.0,885.54,"(1, 1, 1)","(2, 0, 1)",
Brazil,2023,Historical,1082.64,,,1945.67,863.02,"(1, 1, 1)","(2, 0, 1)",
Brazil,2024,Historical,1060.14,,,1927.06,866.92,"(1, 1, 1)","(2, 0, 1)",
Brazil,2025,Forecast,1062.86,878.81,1246.9,1866.68,803.82,"(1, 1, 1)","(2, 0, 1)",13.01
Brazil,2026,Forecast,1138.89,842.23,1435.56,1881.3,742.41,"(1, 1, 1)","(2, 0, 1)",13.01
Brazil,2027,Forecast,1187.68,834.48,1540.87,1877.76,690.08,"(1, 1, 1)","(2, 0, 1)",13.01
Brazil,2028,Forecast,1226.63,829.51,1623.76,1878.62,651.98,"(1, 1, 1)","(2, 0, 1)",13.01
Brazil,2029,Forecast,1247.71,812.37,1683.05,1878.41,630.7,"(1, 1, 1)","(2, 0, 1)",13.01
Brazil,2030,Forecast,1252.13,778.53,1725.73,1878.46,626.33,"(1, 1, 1)","(2, 0, 1)",13.01
Brazil,2031,Forecast,1241.6,729.16,1754.04,1878.45,636.85,"(1, 1, 1)","(2, 0, 1)",13.01
Canada,1971,Historical,-12.0,,,807.0,819.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1972,Historical,145.0,,,1073.0,928.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1973,Historical,312.0,,,1274.0,962.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1974,Historical,151.0,,,1039.0,888.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1975,Historical,2.0,,,877.0,875.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1976,Historical,-154.0,,,617.0,771.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1977,Historical,-239.0,,,500.0,739.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1978,Historical,-186.0,,,495.0,681.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1979,Historical,-121.0,,,535.0,656.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1980,Historical,-128.0,,,468.0,596.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1981,Historical,-137.0,,,416.0,553.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1982,Historical,63.0,,,457.0,394.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1983,Historical,236.0,,,545.0,309.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1984,Historical,281.0,,,626.0,345.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1985,Historical,405.0,,,779.0,374.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1986,Historical,335.0,,,814.0,479.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1987,Historical,333.0,,,881.0,548.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1988,Historical,475.0,,,1081.0,606.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1989,Historical,329.0,,,1004.0,675.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1990,Historical,353.0,,,1038.0,685.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1991,Historical,474.0,,,1172.0,698.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1992,Historical,555.0,,,1222.0,667.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1993,Historical,587.0,,,1323.0,736.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1994,Historical,640.0,,,1394.0,754.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1995,Historical,776.0,,,1517.0,741.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1996,Historical,811.0,,,1644.0,833.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1997,Historical,816.0,,,1765.0,949.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1998,Historical,924.0,,,1890.0,966.0,"(1, 1, 1)","(0, 1, 1)",
Canada,1999,Historical,797.0,,,1800.0,1003.0,"(1, 1, 1)","(0, 1, 1)",
Canada,2000,Historical,850.0,,,1929.0,1079.0,"(1, 1, 1)","(0, 1, 1)",
Canada,2001,Historical,852.0,,,1980.0,1128.0,"(1, 1, 1)","(0, 1, 1)",
Canada,2002,Historical,1047.0,,,2109.0,1062.0,"(1, 1, 1)","(0, 1, 1)",
Canada,2003,Historical,1044.0,,,2176.0,1132.0,"(1, 1, 1)","(0, 1, 1)",
Canada,2004,Historical,1086.0,,,2265.0,1179.0,"(1, 1, 1)","(0, 1, 1)",
Canada,2005,Historical,895.0,,,2184.0,1289.0,"(1, 1, 1)","(0, 1, 1)",
Canada,2006,Historical,1133.0,,,2335.0,1202.0,"(1, 1, 1)","(0, 1, 1)",
Canada,2007,Historical,1221.0,,,2394.0,1173.0,"(1, 1, 1)","(0, 1, 1)",
Canada,2008,Historical,1195.0,,,2427.0,1232.0,"(1, 1, 1)","(0, 1, 1)",
Canada,2009,Historical,1242.0,,,2405.0,1163.0,"(1, 1, 1)","(0, 1, 1)",
Canada,2010,Historical,1355.0,,,2468.0,1113.0,"(1, 1, 1)","(0, 1, 1)",
Canada,2011,Historical,1584.0,,,2708.0,1124.0,"(1, 1, 1)","(0, 1, 1)",
Canada,2012,Historical,1801.0,,,2985.0,1184.0,"(1, 1, 1)","(0, 1, 1)",
Canada,2013,Historical,2105.0,,,3261.0,1156.0,"(1, 1, 1)","(0, 1, 1)",
Canada,2014,Historical,2279.0,,,3445.0,1166.0,"(1, 1, 1)","(0, 1, 1)",
Canada,2015,Historical,2341.0,,,3653.0,1312.0,"(1, 1, 1)","(0, 1, 1)",
Canada,2016,Historical,2469.0,,,3806.0,1337.0,"(1, 1, 1)","(0, 1, 1)",
Canada,2017,Historical,2847.06,,,4021.33,1174.27,"(1, 1, 1)","(0, 1, 1)",
Canada,2018,Historical,3156.85,,,4330.21,1173.36,"(1, 1, 1)","(0, 1, 1)",
Canada,2019,Historical,3354.98,,,4577.78,1222.8,"(1, 1, 1)","(0, 1, 1)",
Canada,2020,Historical,3287.17,,,4325.59,1038.42,"(1, 1, 1)","(0, 1, 1)",
Canada,2021,Historical,3619.86,,,4554.9,935.04,"(1, 1, 1)","(0, 1, 1)",
Canada,2022,Historical,3714.63,,,4621.95,907.32,"(1, 1, 1)","(0, 1, 1)",
Canada,2023,Historical,3820.55,,,4711.59,891.04,"(1, 1, 1)","(0, 1, 1)",
Canada,2024,Historical,4011.13,,,4920.62,909.49,"(1, 1, 1)","(0, 1, 1)",
Canada,2025,Forecast,4107.72,3854.28,4361.16,5025.33,917.61,"(1, 1, 1)","(0, 1, 1)",20.58
Canada,2026,Forecast,4204.35,3790.23,4618.47,5121.96,917.61,"(1, 1, 1)","(0, 1, 1)",20.58
Canada,2027,Forecast,4293.53,3740.73,4846.32,5211.14,917.61,"(1, 1, 1)","(0, 1, 1)",20.58
Canada,2028,Forecast,4375.82,3692.07,5059.57,5293.43,917.61,"(1, 1, 1)","(0, 1, 1)",20.58
Canada,2029,Forecast,4451.77,3640.94,5262.59,5369.38,917.61,"(1, 1, 1)","(0, 1, 1)",20.58
Canada,2030,Forecast,4521.85,3586.38,5457.32,5439.46,917.61,"(1, 1, 1)","(0, 1, 1)",20.58
