country,type,year,value,lower,upper,mape,order
CHINA,history,1971,1.0,,,8.9,"(2, 1, 2)"
CHINA,history,1972,3.0,,,8.9,"(2, 1, 2)"
CHINA,history,1973,3.0,,,8.9,"(2, 1, 2)"
CHINA,history,1974,3.0,,,8.9,"(2, 1, 2)"
CHINA,history,1975,4.0,,,8.9,"(2, 1, 2)"
CHINA,history,1976,3.0,,,8.9,"(2, 1, 2)"
CHINA,history,1977,4.0,,,8.9,"(2, 1, 2)"
CHINA,history,1978,4.0,,,8.9,"(2, 1, 2)"
CHINA,history,1979,2.0,,,8.9,"(2, 1, 2)"
CHINA,history,1980,9.0,,,8.9,"(2, 1, 2)"
CHINA,history,1981,13.0,,,8.9,"(2, 1, 2)"
CHINA,history,1982,18.0,,,8.9,"(2, 1, 2)"
CHINA,history,1983,19.0,,,8.9,"(2, 1, 2)"
CHINA,history,1984,17.0,,,8.9,"(2, 1, 2)"
CHINA,history,1985,17.0,,,8.9,"(2, 1, 2)"
CHINA,history,1986,61.0,,,8.9,"(2, 1, 2)"
CHINA,history,1987,62.0,,,8.9,"(2, 1, 2)"
CHINA,history,1988,79.0,,,8.9,"(2, 1, 2)"
CHINA,history,1989,134.0,,,8.9,"(2, 1, 2)"
CHINA,history,1990,71.0,,,8.9,"(2, 1, 2)"
CHINA,history,1991,98.0,,,8.9,"(2, 1, 2)"
CHINA,history,1992,147.0,,,8.9,"(2, 1, 2)"
CHINA,history,1993,373.0,,,8.9,"(2, 1, 2)"
CHINA,history,1994,288.0,,,8.9,"(2, 1, 2)"
CHINA,history,1995,358.0,,,8.9,"(2, 1, 2)"
CHINA,history,1996,415.0,,,8.9,"(2, 1, 2)"
CHINA,history,1997,616.0,,,8.9,"(2, 1, 2)"
CHINA,history,1998,577.0,,,8.9,"(2, 1, 2)"
CHINA,history,1999,515.0,,,8.9,"(2, 1, 2)"
CHINA,history,2000,513.0,,,8.9,"(2, 1, 2)"
CHINA,history,2001,576.0,,,8.9,"(2, 1, 2)"
CHINA,history,2002,632.0,,,8.9,"(2, 1, 2)"
CHINA,history,2003,785.0,,,8.9,"(2, 1, 2)"
CHINA,history,2004,950.0,,,8.9,"(2, 1, 2)"
CHINA,history,2005,839.0,,,8.9,"(2, 1, 2)"
CHINA,history,2006,904.0,,,8.9,"(2, 1, 2)"
CHINA,history,2007,854.0,,,8.9,"(2, 1, 2)"
CHINA,history,2008,921.0,,,8.9,"(2, 1, 2)"
CHINA,history,2009,961.0,,,8.9,"(2, 1, 2)"
CHINA,history,2010,968.0,,,8.9,"(2, 1, 2)"
CHINA,history,2011,1068.0,,,8.9,"(2, 1, 2)"
CHINA,history,2012,1028.0,,,8.9,"(2, 1, 2)"
CHINA,history,2013,1059.0,,,8.9,"(2, 1, 2)"
CHINA,history,2014,966.0,,,8.9,"(2, 1, 2)"
CHINA,history,2015,1156.0,,,8.9,"(2, 1, 2)"
CHINA,history,2016,1238.0,,,8.9,"(2, 1, 2)"
CHINA,history,2017,1399.47,,,8.9,"(2, 1, 2)"
CHINA,history,2018,1519.37,,,8.9,"(2, 1, 2)"
CHINA,history,2019,1475.75,,,8.9,"(2, 1, 2)"
CHINA,history,2020,1433.14,,,8.9,"(2, 1, 2)"
CHINA,history,2021,1572.55,,,8.9,"(2, 1, 2)"
