country_code,country_name,ember_region,target_year,capacity_target_gw,share_target_pct,Hydro,Rest of renewables,Solar,Wind,Offshore Wind,Onshore Wind,Bioenergy,Other Renewables,"Hydro, bio and other renewables",Renewables
ALB,Albania,Europe,2030,3.3,100.0,2.51,,0.49,0.3,,,,,,100.0
ARE,United Arab Emirates,Middle East,2030,9.2,,,,,,,,,,,9.2
ARG,Argentina,Latin America and Caribbean,2030,32.472,47.39,13.215,19.257,,,,,,,,
AUS,Australia,Oceania,2030,110.4,85.1,6.8,1.1,62.7,39.9,1.0,,,,,
AUT,Austria,Europe,2030,35.7,93.9,14.97,,12.5,7.3,,,0.93,,,
BEL,Belgium,Europe,2030,0.9,115.901039436,,,15.90488395,45.02349423,,,0.9,,3.972661256,51.0
BGD,Bangladesh,Asia,2030,4.5,6.0,0.4,,3.0,1.1,,1.0,,,,
BGR,Bulgaria,Europe,2030,14.82,0.4887443722,2.57,,6.75,2.6,0.5,1.99,0.41,,,0.4887443722
BIH,Bosnia Herzegovina,Europe,2030,4.644,,2.527,,1.492,0.6,,,0.025,,,
BRA,Brazil,Latin America and Caribbean,2030,235.33,84.26,114.9,,58.5,38.1,,,18.8,5.03,,
BWA,Botswana,Africa,2030,0.45,,,,0.4,0.05,,,,,,
CAN,Canada,North America,2030,124.643547687,72.4,,,6.025363217,26.70771611,,,,,91.91046836,
CHE,Switzerland,Europe,2030,27.6,83.49,17.1,,9.8,0.3,,,0.95,0.4,,
CHL,Chile,Latin America and Caribbean,2030,38.40324883,89.49593837,7.935239,,14.25447763,15.3314522,,,0.80108,0.081,,
CHN,China,Asia,2030,3240.0,,554.0,,,,,,82.0,,,
COL,Colombia,Latin America and Caribbean,2030,19.0,,15.0,,1.0,,,3.0,,,,
CRI,Costa Rica,Latin America and Caribbean,2030,4.033,,2.33,,0.73,0.571,,,0.082,0.32,,
CYP,Cyprus,Europe,2030,1.45,31.1,0.0,,1.08,0.17,,0.17,0.03,0.0,,
CZE,Czechia,Europe,2030,13.76,,1.12,,10.1,1.5,,,1.04,,,
DEU,Germany,Europe,2030,360.0,75.0,,,215.0,,30.0,115.0,,,,75.0
DNK,Denmark,Europe,2030,33.08,99.2,0.01,,17.79,54.97,7.71,5.7,1.77,0.1,,
DZA,Algeria,Africa,2030,22.0,27.0,,,15.575,5.01,,,1.4,0.015,,27.0
