country_code,country_name,ember_region,target_year,unit,res_capacity_target,res_share_target,Hydro,Rest of renewables,Solar,Wind,Offshore Wind,Onshore Wind,Bioenergy,Other Renewables,"Hydro, bio and other renewables",Renewables
ALB,Albania,Europe,2030,Percentage (%),3.3,100,,,,,,,,,,100
ARG,Argentina,Latin America and Caribbean,2030,Percentage (%),32.472,47.39,21.7,25.69,,,,,,,,
AUS,Australia,Oceania,2030,Percentage (%),110.4,85.1,5.5,1.1,34.7,42.4,1.4,,,,,
AUT,Austria,Europe,2030,Percentage (%),35.7,93.9,48.5,,19.6,19.6,,,6.2,,,
BEL,Belgium,Europe,2030,Percentage (%),0.9,115.901039436,,,15.90488395,45.02349423,,,,,3.972661256,51
BGD,Bangladesh,Asia,2030,Percentage (%),4.5,6,,,5,,,1,,,,
BGR,Bulgaria,Europe,2030,Percentage (%),14.82,0.4887443722,,,,,,,,,,0.4887443722
BRA,Brazil,Latin America and Caribbean,2030,Percentage (%),235.33,84.26,55.28,,6.49,11.75,,,7.08,3.66,,
CAN,Canada,North America,2030,Percentage (%),124.643547687,72.4,,,2.08,12.03,,,,,58.29,
CHE,Switzerland,Europe,2030,Percentage (%),27.6,83.49,66.19,,13.81,0.95,,,0.95,1.59,,
CHL,Chile,Latin America and Caribbean,2030,Percentage (%),38.40324883,89.49593837,20.56503015,,41.49503075,24.64099361,,,2.248092196,0.546791664,,
CYP,Cyprus,Europe,2030,Percentage (%),1.45,31.1,0,,24.08,4.41,,,2.61,0,,
DEU,Germany,Europe,2030,Percentage (%),360,75,,,,,,,,,,75
DNK,Denmark,Europe,2030,Percentage (%),33.08,99.2,0.02,,34.76,54.97,,,,9.45,,
DZA,Algeria,Africa,2030,Percentage (%),22,27,,,,,,,,,,27
ECU,Ecuador,Latin America and Caribbean,2030,Percentage (%),4.28691,84.9566,60.1747,,0.985,1.8514,,,,21.9455,,
EGY,Egypt,Africa,2030,Percentage (%),14,42,,,,,,,,,,42
ESP,Spain,Europe,2030,Percentage (%),181.57,81.05,7.24,,34.81,32.75,,,2.69,3.56,,
EST,Estonia,Europe,2030,Percentage (%),4.5,100.9,0.266,,10.634,,39.504,33.22,16.376,,,0.9
EU,,,2030,Percentage (%),1236,72,,,,,,,,,,72
FIN,Finland,Europe,2030,Percentage (%),19,63.3,13.65,,5.06,31.3,,,,13.29,,
FRA,France,Europe,2030,Percentage (%),90.6,35,9.6,,11.5,,2.5,11.4,,,,
GEO,Georgia,Asia,2030,Percentage (%),5.289,83.560280635,62.90553265,,4.967013355,15.68773463,,,,,,
GRC,Greece,Europe,2030,Percentage (%),28,81.54,10.77,,29.23,,9.23,29.23,,3.08,,
HRV,Croatia,Europe,2030,Percentage (%),6.187,78.03,32.05,,4.84,29.47,,,8.51,3.16,,
HUN,Hungary,Europe,2030,Percentage (%),13.6,42.31,0.56,,30.7,5.65,,,4.98,0,,0.42
IDN,Indonesia,Asia,2030,Percentage (%),22.609,43.65,12.29,,8.12,6.05,,,7.8,9.39,,
IND,India,Asia,2030,Percentage (%),508.95,42.3,,,,,,,,,,42.3
IRL,Ireland,Europe,2030,Percentage (%),22.45,80.78,1.3,,15.29,61.21,,,2.79,0.19,,
ISL,Iceland,Europe,2030,Percentage (%),2.716,100,,,,,,,,,100,
ISR,Israel,Middle East,2030,Percentage (%),17.7,30,,,,,,,,,,30
ITA,Italy,Europe,2030,Percentage (%),130.96,68.65,14.14,,29.42,19.54,,,3.29,2.26,,
JPN,Japan,Asia,2030,Percentage (%),201.4,38,11,,16,5,,,5,1,,
KAZ,Kazakhstan,Asia,2030,Percentage (%),,44.25,17.58,,9.55,15.91,,,1.21,,,
KEN,Kenya,Africa,2030,Percentage (%),9.01,99.99,24.44,,11.11,,,20,11.11,33.33,,
KOR,South Korea,Asia,2030,Percentage (%),85.414,18.82,0.58,,10.45,6.04,,,1.68,0.07,,
LKA,Sri Lanka,Asia,2030,Percentage (%),8.783,70,,,,,,,,,,70
LTU,Lithuania,Europe,2030,Percentage (%),17.389,0.95,,,,,,,,,,0.95
LVA,Latvia,Europe,2030,Percentage (%),4.71,95.5,29.98,,18.72,40.49,,,6.31,,,
MDA,Moldova,Europe,2030,Percentage (%),0.935,34.1,,,,,,,,,,34.1
MEX,Mexico,Latin America and Caribbean,2030,Percentage (%),48.984,34.68,9.01,,15.76,8.78,,,,1.13,,
MKD,North Macedonia,Europe,2030,Percentage (%),2.519,66,,,,,,,,,,66
MNE,Montenegro,Europe,2030,Percentage (%),1.776,73.238882325,59.93703266,,1.023219205,8.579299488,,,3.699330972,,,
MYS,Malaysia,Asia,2030,Percentage (%),15.19,23.8,17.6,,5.1,,,,1.1,,,
NGA,Nigeria,Africa,2030,Percentage (%),19.174,31,,,,,,,,,,31
NLD,Netherlands,Europe,2030,Percentage (%),49.58,76,0,,15,59,,,,2,,
NOR,Norway,Europe,2030,Percentage (%),49.44,98.69,82.98,,3.34,11.81,,,0.56,,,
NZL,New Zealand,Oceania,2030,Percentage (%),10.2,93,,,,,,,,,,93
PAK,Pakistan,Asia,2030,Percentage (%),30.021,57,41,,10,5,,,1,,,
PHL,The Philippines,Asia,2030,Percentage (%),28.989,35,8.17,,16.5,1.7,,,0.59,8.04,,
POL,Poland,Europe,2030,Percentage (%),61.214,51.5,1.5,,12.9,,11.3,19.8,6,,,
PRT,Portugal,Europe,2030,Percentage (%),39,0.95679380215,0.1469010727,,0.3645709178,0.3747020262,,,0.05914779499,0.01147199046,,
ROU,Romania,Europe,2030,Percentage (%),22.7,56.61,20.32,,13.47,20.7,,,2.12,,,
RWA,Rwanda,Africa,2030,Percentage (%),0.29,60,,,,,,,,,,60
SAU,Saudi Arabia,Middle East,2030,Percentage (%),58.7,50,,,,,,,,,,50
SRB,Serbia,Europe,2030,Percentage (%),4.464,29,,,,,,,,,,29
SVN,Slovenia,Europe,2030,Percentage (%),3.81,0.756,0.242,,,,,,0.028,,,0.486
TGO,Togo,Africa,2030,Percentage (%),,50,,,,,,,,,,50
TUR,Türkiye,Europe,2030,Percentage (%),91.2,47.3,19.4,,11.5,11.9,,,,4.5,,
TZA,Tanzania (the United Republic of),Africa,2030,Percentage (%),7.49,55.072336875,27.5,3.2,3.3,11.9,,,0.1,9.072336875,,
UKR,Ukraine,Europe,2030,Percentage (%),23.611,25,,,,,,,,,,25
USA,United States,North America,2030,Percentage (%),740.9,30,,,,,,,,,,30
UZB,Uzbekistan,Asia,2030,Percentage (%),11.8,26.6,10.8,,8.7,7.1,,,,,,
VNM,Viet Nam,Asia,2030,Percentage (%),168.025,47,,,,,,,,,,47
XKX,Kosovo,Europe,2030,Percentage (%),1.45179,43,5,,13,25,,,,,,
ZAF,South Africa,Africa,2030,Percentage (%),30.63,32.5,8.4,,6.3,17.8,,,,,,
